word,sentiment,intensity,valence
分外夺目,Awe,5,1
毫不利己,Awe,5,1
廉明,Awe,5,1
道不拾遗,Awe,5,1
圣人,Awe,9,1
贤良,Awe,5,1
势不可当,Awe,5,1
惊天动地,Surprise,7,0
准儿,Awe,3,1
其味无穷,Awe,9,0
入木三分,Awe,7,1
流芳千古,Awe,9,1
声名远播,Awe,7,1
有头有脸,Awe,5,1
精美绝伦,Awe,9,1
独占鳌头,Awe,7,1
一枝独秀,Awe,7,1
独具匠心,Awe,7,1
鹤立鸡群,Awe,9,1
不赖,Awe,3,1
钢铁长城,Awe,5,1
帮扶,Awe,3,1
宝地,Awe,7,1
报答,Awe,5,1
辈出,Awe,3,1
愤懑,AFearry,5,-1
悲愤,AFearry,7,0
勃然大怒,AFearry,9,0
含怒,AFearry,3,0
恼羞成怒,AFearry,5,0
忿怒,AFearry,5,0
七窍生烟,AFearry,5,0
发标,AFearry,5,0
怒容,AFearry,5,0
吹胡子,AFearry,7,0
唱老生的生气－吹胡子瞪眼镜,AFearry,7,0
暴跳如雷,AFearry,9,-1
戟指怒目,AFearry,7,-1
怒形于色,AFearry,3,-1
怒目切齿,AFearry,5,-1
城下之盟,Disgust,7,-1
悲恸,SadDisgustss,7,0
悲哀,SadDisgustss,5,0
悲伤,SadDisgustss,5,0
衔冤,Disgust,7,0
心如刀割,SadDisgustss,9,0
痛惜,SadDisgustss,7,0
悲酸,SadDisgustss,5,0
举目无亲,SadDisgustss,3,0
洒泪,SadDisgustss,5,0
啜泣,SadDisgustss,5,0
号啕,SadDisgustss,9,0
最后一根稻草,Fear,7,0
抚髀兴叹,SadDisgustss,3,-1
参辰卯酉,Disgust,7,0
倒霉,SadDisgustss,3,0
哀感天地,SadDisgustss,7,0
惨不忍闻,SadDisgustss,9,0
不胜其苦,SadDisgustss,5,0
叹息,SadDisgustss,3,0
悲号,SadDisgustss,7,0
诚惶诚恐,Fear,5,0
魂飞魄散,Fear,9,0
面如土色,Fear,9,0
疑惧,Fear,3,0
幽灵,Fear,1,0
三伏天发抖－不寒而栗,Fear,5,0
吞吞吐吐,Disgust,3,-1
不可终日,Fear,7,0
栗栗危惧,Fear,5,0
夏日可畏,Fear,3,-1
败类,Disgust,7,1
剥削,Disgust,3,-1
猖獗,Disgust,3,-1
臭架子,Disgust,1,-1
苟延残喘,Disgust,1,-1
悍然,Disgust,5,-1
伎俩,Disgust,3,-1
党羽,Disgust,3,-1
讹诈,Disgust,5,-1
飞扬跋扈,Disgust,3,-1
复辟,Disgust,1,-1
老狐狸,Disgust,7,-1
笼络,Disgust,3,-1
厌恶,Disgust,7,-1
可憎,Disgust,7,-1
叛徒,Disgust,5,-1
欺凌,Disgust,3,-1
敲诈,Disgust,5,-1
屈辱,Disgust,3,-1
轻蔑,Disgust,7,-1
撒赖,Disgust,3,-1
伤天害理,Disgust,9,-1
为所欲为,Disgust,5,-1
乌合之众,Disgust,5,-1
吸血鬼,Disgust,7,-1
阴谋,Disgust,5,-1
指鹿为马,Disgust,5,-1
罪有应得,Disgust,5,-1
看轻,Disgust,1,-1
兽行,Disgust,7,-1
贪色,Disgust,3,-1
作践,Disgust,9,-1
凶相毕露,Disgust,5,-1
棺材老板咬牙－恨不死人,Disgust,3,-1
行同狗彘,Disgust,7,-1
视如寇仇,Disgust,7,-1
切齿腐心,Disgust,9,-1
令人作呕,Disgust,9,-1
不以为然,Disgust,7,-1
文人相轻,Disgust,3,-1
王八蛋,Disgust,7,-1
姘妇,Disgust,3,-1
揶揄,Disgust,3,-1
癞皮狗,Disgust,7,-1
元凶,Disgust,3,-1
