ISO_code,countries,region,personal freedom,economic freedom,human freedom,Demography,Education,Environmental sustainability,Gender,Health,Human Security,Income/composition of resources,Inequality,Poverty,Socio-economic sustainability,Trade and financial flows,"Work, employment and vulnerability",Happy Index
TZA,Tanzania,Sub-Saharan Africa,6.126418693,6.92,6.523209346,225.33,87.741,0.691,6045.009,201.712,0.7,5487.795,125.545,68.3,0,0.84,515.3,22.1
THA,Thailand,South Asia,6.399562601,6.85,6.624781301,220.26,202.161,0.798,31419.208,229.454,0.2,33083.262,80.164,0.6,0,6.58,408.9,37.3
TLS,Timor-Leste,South Asia,6.186449627,6.55,6.368224813,122.65,52.205,0.889,13993.435,258.457,0,13417.938,135.083,23.1,16.2,-8.55,302.7,14.3
TGO,Togo,Sub-Saharan Africa,6.72993801,5.82,6.274969005,135.62,168.606,0.854,3575.157,199.023,8.1,2964.904,159.089,61.4,26.4,108.36,476.5,13.2
TTO,Trinidad and Tobago,Latin America & the Caribbean,6.920446388,6.73,6.825223194,100.94,290.122,0.816,57785.655,224.381,0.3,57472.954,38.826,0.9,0,2.91,352,15.7
TUN,Tunisia,Middle East & North Africa,6.577472244,6.29,6.433736122,138.05,213.159,0.974,20878.701,231.661,1.8,21346.7,109.941,5.3,0,104.63,310.8,26.2
TUR,Turkey,Middle East & North Africa,6.092465309,6.84,6.466232654,273.15,233.289,0.876,50144.543,234.862,61.4,52070.633,79.087,1.1,74.9,51.82,335,26.4
UGA,Uganda,Sub-Saharan Africa,6.128889094,7.41,6.769444547,196.93,144.125,0.752,4054.403,206.218,6.4,3475.924,142.586,52.4,24,50.99,454,19.4
UKR,Ukraine,Eastern Europe,6.586270408,5.98,6.283135204,201.16,364.894,0.945,16896.055,265.902,139.3,16434.764,35.517,0.3,20.7,111.65,336.3,26.4
ARE,United Arab Emirates,Middle East & North Africa,5.073350176,7.5,6.286675088,122.95,287.938,0.866,109300.881,237.883,0.1,135855.385,6.037,0.5,78.3,172.8,359.2,13.6
GBR,United Kingdom,Western Europe,8.995835872,8,8.497917936,265.65,342.914,0.789,78767.65,255.949,0.1,81678.902,49.053,0,100.2,64.17,357.6,31.9
